Country of Asylum,Total,GDP_Billions,Total_Population,Displaced_per_1k_Pop,Displaced_per_Billion_GDP
Czechia,396552,391.02696280047496,10886878,36.42476750451323,1014.1295555681265
Germany,2952694,5050.92292504705,83491249,35.36531115973604,584.585043924917
Austria,308665,579.470021095418,9208163,33.5208010544557,532.6677632373563
Poland,1004317,1035.49178419744,36435861,27.563970561859374,969.8937406619773
Belgium,245118,725.466462859646,11941781,20.526084007067286,337.8764044223259
Netherlands,333597,1332.76765110039,18087633,18.443375095016577,250.30394437062458
Spain,759794,1906.45330998588,49355143,15.394424042090204,398.53795318261814
France,873646,3366.31592744733,68720337,12.713063383260184,259.525849275378
Romania,206987,428.677977854826,19020271,10.882442211259766,482.8496230102523
Italy,427058,2551.55695410035,58915656,7.2486335380870575,167.3715334136352
